statement,label
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",1
Independent analysts say (Donald Trump) would add $30 trillion to the national debt.,0
"People buy more items during Georgias sales-tax holidays, boosting economic activity.",0
Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the U.S.,1
People think AIDS is done --its not done.,1
Daniel Webster is an advocate for a group that teaches that mothers should not work outside the home.,0
Tampa Bay isleading the state in jobs creation.,0
"Since 1980, over 145 incidents have been documented of suction entrapment in swimming pools and spas, including 36 deaths of children.",1
"New York State Assembly member Patrick Burke introduced a bill this month that would create a ""Great Lakes Bill of Rights"" to give residents ""a role in the decision-making process regarding current and future projects that impact the ecosystem. Burke said the Great Lakes account for ""over 20% of the worldâ's freshwater and over 80% of North Americaâ's freshwater.",1
"One man (New Castle, Del., County Executive, Chris Coons) thought property taxes should be hiked almost 50 percent.",1
"Right now, Arizona's politics are a dumpster fire. Kari Lake has been appearing at rallies with neo-Nazis. And she's beating Katie Hobbs, who two federal juries have found guilty of racial discrimination.",0
Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.,0
Carol Shea-Porter wants to increase taxes on small business and job creators.,0
We came out against Deepwater and everybody is now paying for [the project] in their electric bills.,0
About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.,1
Some billionaires have a tax rate as low as 1 percent.,0
David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence and child abuse.,1
McCain voted 19 times against a minimum-wage increase.,1
Graduation rates of players at major football colleges are still twenty points below their male campus peers and worsened in the past three years.,0
The United States has one of the highest corporate tax rates in the world.,1
The financial regulatory bill will kill jobs.,0
John Mica's brother is an oil lobbyist and his daughter represents the natural gas industry.,0
Health insurance is more expensive in Massachusetts than anywhere else in the country.,1
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,0
Our companies are moving into Mexico more than almost any other place right now.,0
"This year I'm proposing we act to approve an extreme risk law. It creates a legal way for law enforcement and the courts to temporarily remove firearms from someone who has shown dangerous behavior, and who poses a risk to themselves or others. This idea has passed Republican legislatures in other states and been signed by Republican governors",1
"In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.",1
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",0
"Since Scott Walker took office as governor in January 2011, there has been an increase of 33,200 jobs in Wisconsin.",0
Says the 2011-13 state budget eliminates the structural deficit for the first time in decades.,1
The proposed Gogebic mine in northern Wisconsin could be extended as long as 21 miles.,0
"Ive gotten to see the commercials that they did on you. And Ive gotten to see some of the most vicious commercials Ive ever seen of Michelle Obama talking about you, Hillary.",0
"E-mail quotes Maureen Dowd column that Obama has received suspicious contributions from Saudi Arabia, Iran and China.",0
(I) helped to invent a system that saved over a billion dollars on welfare.,1
"There are many studies that indicate that the longer people get unemployment insurance, it provides some disincentive to work.",1
Says its estimated that 300 babies a year are sent home from the hospital with an unrecognized congenital heart defect; it is the most common birth defect in America.,1
"In America, radical speech is not a crime.",1
An image in a ChrisAbele TV ad depicts wealthy citizens who would benefit from a lake created by the controversial Estabrook Dam.,0
Prescription drugs are nearly 20 percent of our health care costs now when you include hospital prescription drugs.,1
Georgias civil forfeiture laws are among the worst in the country and the very worst in the South.,1
"Even after Syrian troops began to shoot protesters in the streets with live ammunition in 2011, Clinton labeled Bashar al-Assad a reformer.",0
"Hurricane Sandy, the most destructive Atlantic storm ever.",0
"Absolutely not. I don't know that that saves anything. If somebody's decided that they're going to take their life, they're going to take their life.",0
"[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.",0
Congressman Nye voted against a bill which would have defunded the $5-10 billion the IRS needed toimplement health care legislation.,0
"[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia.",0
A million Democrats deserted (Howard Deans) party and joined my party because of Donald Trump in Ohio this year.,0
"The Jewish holiday Purim is ""their version of Halloween here.""",0
The Providence teacher contract is one of the longest in the country.,0
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,1
"IDES, as you know, was hit with something no one expected: 10 to 20 times the claims, even during the worst recession of my lifetime. That was the 2008-2009 recession. No one expected that we could see a recession worse than that one. The governor is saying IDES is seeing 10-20x the claims they normally do as well as EVEN more than the worst recession.",1
[Hillary Clinton]s not trusted -- virtually at all.,0
Female students at UVA have a 20 percent chance of being sexually assaulted.,0
"Fallece el Papa Francisco a los 88 años. Pope Francis passes away at  and doctors have said his condition is touch-and-go, given his age, fragility and pre-existing lung disease. The image of the pope, meanwhile, is not an authentic photo of him in the hospital. It comes from a video generated by artificial intelligence and shared Feb. 21 on Instagram. We rate claims the pope was dead as of Feb. 23 False.",0
"Says Tom Barrett voted to ban 15 different kinds of guns, even a lot of common deer rifles.",0
Michael Cohen: Convicted of lying to Congress re: Russia investigation... Elliott Abrams: Convicted of lying to Congress re: arming Contra death squads.,1
Federal government reneging on Medicaid payments to Wisconsin caused about $240 million in extra costs in the 2013-15 state budget.,0
"TheCBO saysthe cost of health care reform will rise to $1.8 trillion, increasing the price to far greater than the $900 billion originallyprojected.",0
"832,000 people lost their job while (Charlie Crist was)governor.",0
"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",0
"Agriculture is still somewhere in the neighborhood of a $74 billion, $75 billion enterprise in the state of Georgia. It's still the No. 1 sector of the economy. is still the No. 1 sector of the economy"" in Georgia.",0
"Rep. Spanberger does not accept corporate PAC money, period.",1
"In the 80s, Democrats promised spending cuts, but delivered only tax hikes.",0
Slavery is still allowable under Wisconsin law as long as its a punishment for a crime.,1
"During the Civil War, more than 300,000 Ohioans served in the Union Army -- more per capita than any other state.",1
The average cost for health insurance in Florida went from about $600 a month for an individual to about $150 a month.,0
"During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.",0
"wants to release 50% of the prison population when 68% is classified as 'violent offenders.' release half the prison population. thousands of violent felons. Violent offenses are actually a much lower percentage of all admissions to prison. However, they tend to have much, much longer terms and therefore there is little turnover. Reducing the number of inmates would likely require years of policy changes, as opposed to just letting people out of prison, no matter their offense.",0
"Says the one person (Donald Trump)has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge.",0
Paul Ryan is one of less than a dozen Republican congressmen to have voted for every bailout to come before Congress.,0
The African-American community lost half of their wealth as a result of the Wall Street collapse.,1
One state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects.,0
Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.,1
I haven't missed a vote since 1993.,1
The Denver Post has actually hired an editor to promote pot.,0
Our population has grown from about 1 million in the 1970s to almost 7 million today.,0
"Italian prime minister has announced that the entire country goes into quarantine, as part of emergency measures aimed at halting the spread of the coronavirus.",1
"There are close to 900,000 unemployed veterans in America right now.",1
"Says President Barack Obama has allowed, each year hes been here, the prosecutions of gun cases (for background check failures) to go down. ... Theyve declined every year since President Bush left office.",0
"We used to rank No. 1 in the world in research and development, now we rank No.  China used to rank No. 8, now it ranks No.  The risk of losing our edge as a nation  and China and the rest of the world catching up  is real. We used to rank No. 1 in the world in research and development, now we rank No. China used to rank No. 8, now it ranks No. ",0
"Here in Wisconsin, prescription drug costs grew at a pace of nearly twice as much as the average Wisconsinite's income from 2015-2019.",1
Says Donald Trump has outlined policies that read like a Kremlin wish list.,1
"Says Russ Feingold said that with Obamacare, we could keep our doctors and our plans, it was rated as the Lie of the Year.",1
Most private sector jobs in the history of Buffalo exist in Buffalo today,1
The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.,0
"The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical familys incomes barely budged.",1
Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,0
Says Joe Garcia voted to raise our utility rates.,0
Says he and President Barack Obama have the same position on gay marriage.,0
Workers who pick produce in Georgias fields can make $12 to $18 an hour.,0
"Chris Sununu supported Obamas Common Core agenda, taking away local control of our schools.",0
Georgia spends fewer tourism advertising dollars than any other state in the South.,1
In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law.,1
Im also the only lieutenant governor to not take a security detail.,1
"For the first time in history, Wisconsin has more government jobs than manufacturing jobs.",1
"You dont see Norway losing population, and its taxes are astronomical.",1
Says women care most about jobs and the economy,1
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,1
ISIS is in 32 countries.,0
Says Ted Cruz wanted to let in more Syrian refugees and give amnesty to illegal immigrants.,0
"In Texas because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s. The hope that his right is restored after overcoming even more obstacles, and an assumption that everything will work out in the end, does not change that he is being denied this right, and is exactly the type of procedural hurdle  and mindset of those placing the procedural hurdles  applied throughout history to deny the right to vote, especially in states like Texas with a long history of discrimination.",0
"The left is now rationing life-saving therapeutics based on race, discriminating against and denigrating, just denegrating white people to determine who lives and who dies. If you're white, you don't get the vaccine, or if you're white you don't get therapeutics. In fact, in New York State, if you're white, you have to go to the back of the line to get medical help. Think of it. If you're white you go right to the back of the line. If you're white, you don't get the vaccine.",0
Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,1
"If the United States moves ahead by itself (on cap-and-trade)... after 30 or 40 years, were going to reduce CO2 by less than 1 percent.",0
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",1
"did more to lower costs and expand access to health care than any action since the passage of the Affordable Care Act. It made quality coverage more affordable than ever, with families saving an average of $2,400 on their annual premiums, and four out of five consumers finding quality coverage for under $10 a month. four out of five consumers are finding quality coverage for under $10 a month.",0
The people that perpetrated that travesty in San Bernardino had never been to the Middle East.,0
"If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars.",0
"Says a car driving former University of Missouri System President Tim Wolfe ran through the students, hit one of them at the MU Homecoming Parade.",0
This is NYC#2 train this afternoon!!!! And their mayor and governor wants to blame trump!!!! Damn what a disgrace!!!! Spread this far and wide!!!!,1
The Libertarian Party is the third-largest political party in the U.S.,0
